Energy,SLA
560.0,0.0
560.0,0.0
384.0,1.0
384.0,1.0
560.0,0.0
384.0,1.0
384.0,1.0
560.0,0.0
560.0,0.0
560.0,0.0
560.0,0.0
384.0,1.0
560.0,0.0
384.0,1.0
384.0,1.0
560.0,0.0
560.0,0.0
560.0,0.0
560.0,0.0
560.0,0.0
